,date,cases,order_code,Face_Masks_Required_in_Public,mean_cases,daily_confirmed_cases,daily_increase_rate
310,2020-11-27,25425,1.0,Yes,23618.428571428572,601,0.08228424345730734
311,2020-11-28,26026,1.0,Yes,24188.0,613,0.08392719008207888
312,2020-11-29,26639,1.0,Yes,24770.714285714286,558,0.07639701805187604
313,2020-11-30,27197,1.0,Yes,25366.0,632,0.08652852223796713
314,2020-12-01,27829,1.0,Yes,25982.14285714286,565,0.07735540358299277
315,2020-12-02,28394,1.0,Yes,26603.14285714286,1026,0.14047193641796563
316,2020-12-03,29420,1.0,Yes,27275.714285714286,754,0.10323181292314432
317,2020-12-04,30174,1.0,Yes,27954.14285714286,587,0.0803674723950739
318,2020-12-05,30761,1.0,Yes,28630.571428571428,420,0.057503131867003475
319,2020-12-06,31181,1.0,Yes,29279.428571428572,557,0.07626010583314508
320,2020-12-07,31738,1.0,Yes,29928.14285714286,550,0.07530172030202835
321,2020-12-08,32288,1.0,Yes,30565.14285714286,731,0.10008283189233222
322,2020-12-09,33019,1.0,Yes,31225.85714285714,599,0.08201041901984543
323,2020-12-10,33618,1.0,Yes,31825.571428571428,662,0.09063588879989594
324,2020-12-11,34280,1.0,Yes,32412.14285714286,504,0.06900375824040417
325,2020-12-12,34784,1.0,Yes,32986.857142857145,339,0.046413242149795655
326,2020-12-13,35123,1.0,Yes,33550.0,373,0.051068257586648326
327,2020-12-14,35496,1.0,Yes,34086.857142857145,288,0.03943071899451667
328,2020-12-15,35784,1.0,Yes,34586.28571428572,539,0.07379568589598778
329,2020-12-16,36323,1.0,Yes,35058.28571428572,429,0.05873534183558212
330,2020-12-17,36752,1.0,Yes,35506.0,473,0.06475947945974439
331,2020-12-18,37225,1.0,Yes,35926.71428571428,327,0.04477029552502413
332,2020-12-19,37552,1.0,Yes,36322.142857142855,263,0.03600791352624265
333,2020-12-20,37815,1.0,Yes,36706.71428571428,258,0.03532335243258784
334,2020-12-21,38073,1.0,Yes,37074.857142857145,356,0.04874074986822199
335,2020-12-22,38429,1.0,Yes,37452.71428571428,531,0.0727003881461401
336,2020-12-23,38960,1.0,Yes,37829.42857142857,413,0.05654474633588675
337,2020-12-24,39373,1.0,Yes,38203.857142857145,283,0.03874615790086186
338,2020-12-25,39656,1.0,Yes,38551.142857142855,149,0.020399920590913136
339,2020-12-26,39805,1.0,Yes,38873.0,82,0.011226801935938772
340,2020-12-27,39887,1.0,Yes,39169.0,170,0.02327507718426331
341,2020-12-28,40057,1.0,Yes,39452.42857142857,283,0.03874615790086186
342,2020-12-29,40340,1.0,Yes,39725.42857142857,412,0.05640783411715579
343,2020-12-30,40752,1.0,Yes,39981.42857142857,470,0.0643487428035515
344,2020-12-31,41222,1.0,Yes,40245.57142857143,334,0.045728681056140856
345,2021-01-01,41556,1.0,Yes,40517.0,282,0.0386092456821309
346,2021-01-02,41838,1.0,Yes,40807.42857142857,191,0.026150233777613486
347,2021-01-03,42029,1.0,Yes,41113.42857142857,296,0.040526016744364346
348,2021-01-04,42325,1.0,Yes,41437.42857142857,183,0.0250549360277658
349,2021-01-05,42508,1.0,Yes,41747.142857142855,298,0.04079984118182627
350,2021-01-06,42806,1.0,Yes,42040.57142857143,350,0.04791927655583622
351,2021-01-07,43156,1.0,Yes,42316.857142857145,384,0.052574291992688885
352,2021-01-08,43540,1.0,Yes,42600.28571428572,417,0.05709239521081059
353,2021-01-09,43957,1.0,Yes,42903.0,248,0.033954230245278244
354,2021-01-10,44205,1.0,Yes,43213.857142857145,167,0.022864340528070428
355,2021-01-11,44372,1.0,Yes,43506.28571428572,149,0.020399920590913136
356,2021-01-12,44521,1.0,Yes,43793.857142857145,310,0.0424427878065978
357,2021-01-13,44831,1.0,Yes,44083.142857142855,242,0.03313275693289247
358,2021-01-14,45073,1.0,Yes,44357.0,284,0.03888307011959283
359,2021-01-15,45357,1.0,Yes,44616.57142857143,238,0.03258510805796863
360,2021-01-16,45595,1.0,Yes,44850.57142857143,142,0.019441535059796414
361,2021-01-17,45737,1.0,Yes,45069.42857142857,73,0.009994591967360127
362,2021-01-18,45810,1.0,Yes,45274.857142857145,163,0.022316691653146585
363,2021-01-19,45973,1.0,Yes,45482.28571428572,171,0.02341198940299427
364,2021-01-20,46144,1.0,Yes,45669.857142857145,186,0.02546567268395868
365,2021-01-21,46330,1.0,Yes,45849.42857142857,188,0.0257394971214206
366,2021-01-22,46518,1.0,Yes,46015.28571428572,162,0.022179779434415625
367,2021-01-23,46680,1.0,Yes,46170.28571428572,138,0.01889388618487257
368,2021-01-24,46818,1.0,Yes,46324.71428571428,96,0.013143572998172221
369,2021-01-25,46914,1.0,Yes,46482.42857142857,155,0.0212213939032989
370,2021-01-26,47069,1.0,Yes,46639.0,171,0.02341198940299427
371,2021-01-27,47240,1.0,Yes,46795.57142857143,87,0.011911363029593575
372,2021-01-28,47327,1.0,Yes,46938.0,164,0.022453603871877545
373,2021-01-29,47491,1.0,Yes,47077.0,166,0.022727428309339468
374,2021-01-30,47657,1.0,Yes,47216.57142857143,120,0.01642946624771528
375,2021-01-31,47777,1.0,Yes,47353.57142857143,65,0.008899294217512442
376,2021-02-01,47842,1.0,Yes,47486.142857142855,91,0.012459011904517418
377,2021-02-02,47933,1.0,Yes,47609.57142857143,123,0.01684020290390816
378,2021-02-03,48056,1.0,Yes,47726.142857142855,171,0.02341198940299427
379,2021-02-04,48227,1.0,Yes,47854.71428571428,237,0.03244819583923767
380,2021-02-05,48464,1.0,Yes,47993.71428571428,276,0.03778777236974514
381,2021-02-06,48740,1.0,Yes,48148.42857142857,111,0.015197256279136633
382,2021-02-07,48851,1.0,Yes,48301.857142857145,110,0.01506034406040567
383,2021-02-08,48961,1.0,Yes,48461.71428571428,120,0.01642946624771528
